Parts,Price
RADIO WITH KEY REMOTE SPIKA NDOGO., 20000
RADIO WITH KEY REMOTE SPIKA KATI.,  21000
RADIO WITH KEY REMOTE SPIKA KUBWA., 22000
RADIO KAMA HOPERAY SPIKA NDOGO.,  22000
RADIO KAMA HOPERAY SPIKA KUBWA.,  24000
RADIO SCREEN SPIKA NDOGO., 23000
RADIO BOTTON NYINGI SPIKA NDOGO.,   21000
RADIO MACHINE TUPU.,  14000 
CHAIN KIT COMPLETE GN125 MBARIKIWA., 13000
CHAIN KIT GN125 ST.,   12000
CHAIN KIT TVSHLX MBARIKIWA .,14000
SPROCKET SET GN125., 4800
SPROCKET SET CG125.,  5000
FROM SPROCKET TVSHLX.,   1000
HANDLE SWITCH KULIA., 3500
BLOCK GASKET CG.,   150
ENGINE VALUE CG150., 1600
PACKING BULB  KAWAIDA .,   90
DASHBOARD BULB KAWAIDA.,      90
BULB PACKING RANGI.,  250
MAINFORD  GN125.,  1500
UZU WA MOTO GN NENE.,  130
UZU WA MOTO BM150 NENE., 150
SHOCKUP NYUMA GN125.,    28000
CLUTCH GASKET BM150., 300
MAGNETO GASKET BM150.,   250
BLOCK GASKET BM150.,  200
BEARING 6000.,     900
VIRAKA ZA TUBE KUBWA., 2000
VIRAKA ZA TUBE KATI., 1800
MKAA CARBURATOR GN.,   300
 KIOO CHA UPEPU NDOGO.,      12000
 COMPLETE OIL SEAL CG/ GN125.,       900
  32*44*10_5  OIL SEAL.,   800 SET
31*43*10_5   OIL SEAL.,  800 SET
30*42*10_5 OIL SEAL., 1000 SET
30*40*10_5 OIL SEAL.,   1000 SET 
20*34*7 OIL SEAL.,  300 PIC
14*28*7 OIL SEAL., 300 PIC
16*28*7 OIL SEAL.,   300 PIC 
34*50*7 OIL SEAL.,     500 PIC
27*37*10_5  OIL SEAL.,  800SET
20*35* 7 OIL SEAL GUTA., 500 PCS
6_5*14_5*7 RPM OIL SEAL.,     250 PIC
12*22*9 OIL SEAL GEAR  BM.,  400 PIC
22*35*7 OIL SEAL SPROCKET  BM ., 400 PIC
42*55*7 OIL SEAL GUTA.,  700 PIC
26*35*7 OIL SEAL ., 500PIC
VALVE SEAL CG/GN    ., 200 SET 
GASKET  HALF CG125 .,  900
MEKA NDOGO., 15000 DOZEN
MEKA KUBWA., 25000 DOZEN
MEKA NDOGO SANA ., 800PCS
EPOXY ARLIDITE KUBWA.,   25000
BRAKE PAD GN125., 1000
